,County,Pct_Children_in_Poverty_a,Pct_Children_in_Poverty_b,Pct_Children_in_Poverty_c,Pct_Excessive_Drinking_a,Pct_Excessive_Drinking_b,Pct_Excessive_Drinking_c,Pct_Smokers_a,Pct_Smokers_b,Pct_Smokers_c,Pct_Unemployed_a,Pct_Unemployed_b,Pct_Unemployed_c,Pct_Uninsured_a,Pct_Uninsured_b,Pct_Uninsured_c,ER_Visit_Rate-All_Other_Unintentional_Injury_a,ER_Visit_Rate-All_Other_Unintentional_Injury_b,ER_Visit_Rate-All_Other_Unintentional_Injury_c,ER_Visit_Rate-Falls_a,ER_Visit_Rate-Falls_b,ER_Visit_Rate-Falls_c,Injury_Death_Rate_a,Injury_Death_Rate_b,Injury_Death_Rate_c,Teen_Birth_Rate_a,Teen_Birth_Rate_b,Teen_Birth_Rate_c,Violent_Crime_Rate_a,Violent_Crime_Rate_b,Violent_Crime_Rate_c
13,Brooks,0.3142792572009615,-0.3144402033872894,0.3146398871622805,-0.8519074951622803,0.8517376260593067,-0.8515719112241565,-0.361288081350181,0.3612920102863585,-0.3612940724058088,-0.462045731634673,0.461492731637314,-0.4609436339135566,-2.6728152963599694,2.6731274937279736,-2.6734303046942345,-1.5137334802325242,1.5135572289567074,-1.5133619892638883,-1.0547271491137504,1.0545245056173909,-1.054311937508898,0.0098656181616793,-0.0101129311302955,0.0103582856260986,-1.019856329267456,1.0207196251684123,-1.0215749785114423,1.7972305202892471,-1.7960009381436932,1.7947851224172846
14,Bryan,1.576695142797134,-1.5756513228356983,1.574564480035971,-0.645242371404685,0.6457039375887219,-0.6461570015401601,0.3940788060054306,-0.3936592050692999,0.3932320058076609,-0.5279879114695833,0.5271631160175548,-0.5263454610476812,0.997823768458052,-0.998611278552152,0.9993772475797096,-0.1797342360715223,0.1801934553288802,-0.180665540648166,0.1689272322121286,-0.167883185563529,0.1668229833509842,0.1040596619379178,-0.1046435988372805,0.1052222270531972,-0.1530657521588727,0.1521073064631107,-0.1511691674820922,0.4215019404461029,-0.4226553157786311,0.4238023751879229
15,Bulloch,-0.2881754261893407,0.288908535081604,-0.2896556106005607,0.5521462713175003,-0.5514813120451382,0.5508201136529509,-0.5884700553128581,0.5891323086451015,-0.5897937105643024,0.1237105643621614,-0.1242736451417264,0.1248353619060971,1.113084287199413,-1.111816322415566,1.110554392884857,-0.4711470571513438,0.4706855419220846,-0.4702260592986025,-0.2968664748183246,0.2962182453854997,-0.2955798900000805,-0.0476425081509359,0.0481619383453476,-0.0486916509621661,0.0461148622425917,-0.0482317997156408,0.0503187140526083,2.088748155887055,-2.088217131791432,2.087678625553947
16,Burke,1.2765106243931756,-1.2719544689817142,1.2674634891955734,0.3902448939523071,-0.3905086875559388,0.3907671470699298,-0.6880199433038117,0.6865311445707749,-0.685040724227795,-0.8988304460317035,0.8990478677154338,-0.8992529886831413,-0.7840819613307567,0.7844317305655286,-0.7847918160291915,0.5374698158527775,-0.5380073591610767,0.5385504755059385,1.0440864620880783,-1.0432201273317998,1.0423534061873456,-0.1414345946987554,0.1413079714924318,-0.1411709053252017,-0.0204468958415478,0.0220817924704996,-0.0237067793408741,-0.1029832441186714,0.1047076649792686,-0.1064106035244806
17,Butts,0.1402605853221313,-0.1423498517550039,0.1444284873974421,1.7929615826303618,-1.7920890901418676,1.7912198513830526,-0.6928401289779106,0.6915077774604851,-0.6901739959253197,0.6445103034794615,-0.6442936660505966,0.6440740970033172,-0.3525771612340552,0.3522233967169421,-0.3518766618932785,0.7446308767726914,-0.7445397607938986,0.7444645304607839,0.2923224832766345,-0.2917287730126109,0.2911479991875387,-0.2400295890740851,0.239590933159679,-0.2391405459102835,-0.0413495513087141,0.0429733700078821,-0.0445861282994215,0.1754506726062644,-0.176054054235326,0.1766552454366799
18,Calhoun,0.247591310624662,-0.2486686560620848,0.2497974488384283,-1.012220575525373,1.012181195187318,-1.0121480470098312,-0.4398052520832287,0.4403160222749027,-0.4408155567839876,-0.1914350839581389,0.1919846192841692,-0.1925348269255222,-2.045955675772096,2.046474173460414,-2.0469846891277554,1.9967988396151917,-1.9972335204398437,1.9976611473195285,2.576020740955141,-2.576174779255504,2.576325266215915,0.649658670301179,-0.6506876224803155,0.6517080391218387,0.8331660340090636,-0.8312873703226881,0.8294269548882132,-4.18963428606698,4.182308735051336,-4.174923497927526
19,Camden,-0.0199657945842097,0.0192490781727874,-0.0185781971047802,-0.1370592264695264,0.1381839523581529,-0.1392998042487485,-0.245075761485341,0.2460991989345085,-0.2471251336614797,-0.4194546093009563,0.4194365326432475,-0.4194221981203966,1.7429348484910174,-1.7435542282783183,1.7441567535000402,-1.0151272711264123,1.0154807969030346,-1.0158358073829985,-0.7491236865356264,0.7482335770122053,-0.7473491955611005,-0.0895366395749995,0.0900935193597231,-0.090659044212085,-0.1681806332960201,0.1683498755108704,-0.1685259246962994,0.2387870744901127,-0.237939275091399,0.2370939413401033
20,Candler,-1.3378961531172635,1.3383760162917928,-1.3388422809140896,-0.4817085912082469,0.4810486173473152,-0.4803932287750305,1.0797414150423768,-1.0797024934823711,1.079668456360621,-0.2140627837252267,0.2147832581089705,-0.2155093901359577,1.5588541528251267,-1.5589581975222282,1.5590879052017392,0.0715615856180029,-0.0703738030865113,0.0691925154175315,-0.737601878877911,0.7363717331132931,-0.7351319494080468,-0.8333432051689613,0.8329606275606117,-0.8325741918871599,3.405128360154648,-3.401201710706268,3.397299936356914,-3.859410897953907,3.8658700880237578,-3.872351323672078
21,Carroll,-0.7241564354759253,0.723478229043948,-0.7228391201498919,-0.4037874160006685,0.4047611686419928,-0.405730578946529,-0.4818073138490353,0.482339271310425,-0.4828711943371887,-0.0168776849422965,0.0170044331013694,-0.0171320920478551,-0.1047989267686071,0.1050691546350965,-0.1053422472308662,-0.0207094342936432,0.0230715522768464,-0.0254298518744983,-1.0682784721494718,1.0701510099718077,-1.072017880197952,-0.0778637737028953,0.0777716656877716,-0.0776780108020021,0.0894062993332009,-0.0901110890159302,0.0908068313315293,1.953588837507486,-1.9525730359238145,1.9515580265398131
22,Catoosa,1.0329334923570048,-1.032687760603934,1.032409651771515,0.1290042749685955,-0.1292922554272925,0.1295868369614239,1.207437236620975,-1.207149828620709,1.2068563783844113,-0.7368781227967506,0.7359752062878377,-0.7350809207586767,-0.828206694093628,0.8277867552912143,-0.827387230498744,0.6653544731323849,-0.6656191641835736,0.6658612678524982,1.3730700517471488,-1.372824890077244,1.372552463047239,-1.0482302197916449,1.048185278260995,-1.0481433152639896,-0.3363789788952732,0.3361655650645138,-0.3359604994132663,-0.2498304641031188,0.2492167543062787,-0.2486074921436754
